run_date,total_rows,weak_count,neutral_count,strong_count,leading_count,missing_sector_count,top_decile_count,median_rs_score
2026-05-05 20:11:00,10,0,0,10,0,10,,
2026-05-05 20:12:11,10,0,0,10,0,10,,
2026-05-06 13:46:32,10,0,0,10,0,10,,
2026-05-06 14:10:22,10,0,0,10,0,10,,
2026-05-06 15:43:32,9,1,0,8,0,9,,
2026-05-06 15:52:24,8,1,0,7,0,8,,
2026-05-06 16:00:33,8,1,0,7,0,8,,
2026-05-06 16:05:44,10,1,0,9,0,10,,
2026-05-06 16:09:42,10,1,0,9,0,10,,
2026-05-06 16:12:26,10,1,0,9,0,10,,
2026-05-06 16:15:05,10,1,0,9,0,10,,
2026-05-07 15:20:40,10,3,4,1,2,10,2.0,24.655
2026-05-07 15:34:34,6,2,2,1,1,6,1.0,3.905
